id,day,slphrs,slpwell,weath,lteq,pss,se,ssgs_shame,ssgs_guilt,swls,pc,enthusiastic,calm,nervous,sluggish,happy,peaceful,embarrassed,sad,alert,satisfied,upset,bored,proud,relaxed,stress,depressed,excited,content,tense,disappointed,ashamed,relieved,angry,pos_activ,pos_deact,neg_activ,neg_deact,pfi_auth,pfi_hubr,evalday,posaff,negaff,affbalance,temp,hum,wind,bar,prec
248,7,7,3,2,6,2.25,2,1,2.4,2.8,6.166666667,3,1,7,2,2,1,1,2,4,2,2,3,1,2,7,2,1,2,5,4,3,1,3,2.2,1.6,4.4,2.6,1.285714286,1,1,1.9,3.5,-1.6,39,0.8,8,30.07,0.29
249,0,7,3,3,20,3.75,4,1.4,3,6.4,5.666666667,6,6,2,4,7,5,2,1,4,7,1,2,6,6,2,1,7,7,2,2,1,6,1,6,6.2,1.8,2,3.857142857,1.285714286,1,6.1,1.9,4.2,48,0.58,7,30,0.01
249,1,6,2,3,23,2.5,4,1.4,3,5,4.666666667,5,5,2,4,7,5,2,1,4,6,1,3,5,6,2,3,4,4,3,2,1,5,2,5,5.2,2,2.6,3.857142857,1.142857143,1,5.1,2.3,2.8,35,0.48,6,30.2,0
249,2,8,2,3,17,2.5,3,1.2,2.8,3.8,5,4,5,2,6,5,5,1,1,4,5,2,4,4,5,2,1,6,6,3,3,2,4,2,4.6,5.2,2,3,2.857142857,1.142857143,1,4.9,2.5,2.4,34,0.42,7,30.41,0
249,3,6,3,,0,2.75,4,1.2,1.4,6.2,4.5,6,6,2,5,7,6,1,1,4,6,1,4,5,5,1,1,6,5,4,1,1,5,3,5.6,5.6,1.8,2.4,2.714285714,1.142857143,1,5.6,2.1,3.5,42,0.46,5,30.4,0
249,4,7,2,2,36,2.5,4,1.2,1.8,3.8,4.5,3,3,1,4,5,5,1,2,4,5,2,2,4,4,2,1,6,5,2,2,1,4,2,4.4,4.4,1.6,2.2,3.571428571,1,1,4.4,1.9,2.5,35,0.36,10,30.35,0
249,5,8,3,2,34,2,2,2,3.2,3.4,3.666666667,6,6,3,2,5,5,2,2,2,6,2,4,6,6,2,1,6,5,2,2,2,5,3,5,5.6,2.2,2.2,4.428571429,1,1,5.3,2.2,3.1,32,0.35,8,30.43,0
249,6,6,2,3,19,3,4,1.4,2.2,4.4,5.166666667,6,5,2,1,5,6,1,1,4,5,2,4,5,5,2,1,6,5,2,2,1,4,3,5.2,5.2,1.8,1.8,4.142857143,1,1,5.2,1.8,3.4,42,0.24,3,30.35,0
249,7,8,3,3,19,2.5,4,1.4,2,5,4.333333333,5,6,2,6,5,5,4,3,3,6,5,4,6,5,5,2,7,6,4,3,2,5,3,5.2,5.6,4,3.6,4,1.285714286,1,5.4,3.8,1.6,39,0.8,8,30.07,0.29
301,0,8,3,0,11,2.25,4,1.2,1,4.8,5.166666667,2,4,1,4,3,4,2,2,4,4,1,5,4,6,2,1,5,6,1,5,1,1,3,3.6,4.8,1.4,3.4,2.714285714,2.142857143,1,4.2,2.4,1.8,35,0.36,10,30.35,0
301,1,9,3,0,36,3,4,1,1,6.4,5.5,6,6,2,2,6,6,3,1,5,6,1,5,6,6,1,1,6,6,3,1,1,6,1,5.8,6,2,2,4,1.285714286,1,5.9,2,3.9,32,0.35,8,30.43,0
301,2,7.5,3,0,31,2.5,3,1,1,4,4.5,1,3,2,6,4,4,3,4,2,4,2,6,2,4,5,1,1,4,6,4,1,1,4,2,3.8,3.6,4.2,1.428571429,1,0,2.9,3.9,-1,42,0.24,3,30.35,0
301,3,7,3,0,25,3,5,1,1,4,4.666666667,1,4,1,6,4,4,1,1,4,3,1,6,4,4,2,1,1,5,2,1,1,1,1,2.8,4,1.4,3,3,1.857142857,1,3.4,2.2,1.2,39,0.8,8,30.07,0.29
301,4,6,3,4,21,2.75,4,1,1,6,5.5,6,4,2,6,6,6,1,1,5,6,1,6,6,4,2,1,6,4,2,1,1,1,2,5.8,4.8,1.6,3,3.428571429,3.285714286,1,5.3,2.3,3,44,0.79,6,29.93,0
301,5,8,4,2,10,2.25,5,1,1,3.4,5,1,4,2,5,3,4,1,1,3,4,1,5,4,4,5,1,2,4,1,1,1,1,1,2.6,4,2,2.6,2.142857143,1,1,3.3,2.3,1,47,0.86,3,29.95,0.04
301,6,8,3,2,30,2,4,1,1,4.4,4,1,4,1,5,3,4,1,1,1,4,1,1,2,4,5,1,2,4,1,1,1,1,1,1.8,4,1.8,1.8,3,1,1,2.9,1.8,1.1,48,0.9,10,29.54,0.12
301,7,8,3,0,47,2.75,4,1,1,4.8,5.833333333,3,4,1,6,3,4,1,1,4,4,1,6,3,4,4,1,3,5,6,1,1,2,1,3.2,4.2,2.6,3,3.142857143,1,1,3.7,2.8,0.9,36,0.74,18,29.71,0
302,0,11,4,2,11,2.75,4,1.6,3.4,4.6,5,4,6,3,4,5,4,2,4,5,4,4,5,4,5,3,3,4,6,2,3,1,4,2,4.4,5,2.8,3.8,3.857142857,1.857142857,1,4.7,3.3,1.4,35,0.36,10,30.35,0
302,1,8.5,3,2,18,2.25,4,1.4,3,3.2,5.5,2,5,4,5,4,3,2,4,4,4,5,5,5,6,3,3,4,6,3,5,2,5,2,3.8,4.8,3.4,4.4,3.428571429,1.428571429,0,4.3,3.9,0.4,32,0.35,8,30.43,0
302,2,7.5,2,3,12,1.75,3,1.4,2,3,3.333333333,3,4,5,5,4,3,1,3,1,2,4,3,4,3,5,4,2,3,6,4,2,4,3,2.8,3,4.2,3.8,3,1,0,2.9,4,-1.1,42,0.24,3,30.35,0
302,3,11,1,0,6,2,3,1.2,1.8,3.8,2.666666667,3,5,4,6,3,4,1,4,3,4,5,5,3,4,1,3,3,4,5,2,1,2,3,3,4.2,3.2,4,2.857142857,1.142857143,1,3.6,3.6,0,39,0.8,8,30.07,0.29
302,4,7,3,4,18,3,4,1.6,1.8,6.2,6.166666667,6,5,5,2,7,6,2,2,4,6,2,2,6,5,1,1,7,6,2,2,2,5,1,6,5.6,2.4,1.8,4.285714286,1.285714286,1,5.8,2.1,3.7,44,0.79,6,29.93,0
302,5,11,3,1,20,2.5,3,1,1.2,3.2,5.5,3,5,4,5,5,5,1,2,6,4,2,4,5,4,2,1,3,4,5,2,2,3,1,4.4,4.4,2.8,2.8,2.571428571,1,1,4.4,2.8,1.6,47,0.86,3,29.95,0.04
302,6,5,0,0,3,1.25,2,1.2,1,1.8,3.333333333,3,3,5,6,4,3,1,4,3,3,5,5,2,4,3,4,2,3,5,3,1,3,1,2.8,3.2,3.8,4.4,2.857142857,1,1,3,4.1,-1.1,48,0.9,10,29.54,0.12
302,7,8,2,1,6,2,3,1.2,1.2,3.8,4.166666667,3,5,5,3,4,3,1,1,3,5,3,5,2,4,4,3,3,4,4,3,1,2,1,3,4.2,3.4,3,3.142857143,1,0,3.6,3.2,0.4,36,0.74,18,29.71,0
303,0,7,2,2,9,3,4,1.2,1.8,5.2,5.5,5,6,2,4,6,6,1,1,6,5,2,4,5,6,2,1,5,6,2,1,1,5,1,5.4,5.8,1.8,2.2,4.285714286,1.142857143,1,5.6,2,3.6,35,0.36,10,30.35,0
303,1,8,3,2,3,3.75,5,1,1,5.2,6,5,6,2,2,6,6,1,1,6,5,1,2,7,6,4,2,6,6,1,1,1,4,1,6,5.8,1.8,1.6,4.142857143,1,0,5.9,1.7,4.2,32,0.35,8,30.43,0
303,2,9,3,2,12,3.25,5,1,1,5.8,6.833333333,5,7,2,1,6,7,1,1,6,6,1,2,6,7,2,1,6,5,2,1,1,5,1,5.8,6.4,1.6,1.2,4.428571429,1,1,6.1,1.4,4.7,42,0.24,3,30.35,0
303,3,7,2,1,3,3.75,5,1,1,5.6,6.833333333,4,5,6,1,6,7,1,1,6,7,1,1,6,5,6,1,5,7,3,1,1,7,1,5.4,6.2,3.4,1,4.428571429,1,0,5.8,2.2,3.6,39,0.8,8,30.07,0.29
303,4,8,4,4,3,4,5,1,1,6,6.8,6,7,,2,7,7,1,1,5,6,1,1,6,7,1,1,5,7,1,1,1,7,1,5.8,6.8,1,1.2,4.714285714,1,1,6.3,1.1,5.2,44,0.79,6,29.93,0
303,5,9,3,3,3,4,5,1,1,5.4,6.666666667,5,7,1,1,6,7,1,1,5,6,1,1,5,7,1,1,6,7,1,1,1,6,1,5.4,6.8,1,1,4.285714286,1,1,6.1,1,5.1,47,0.86,3,29.95,0.04
303,6,9,3,3,3,3,5,1,1.2,5.4,6.833333333,5,7,1,2,6,7,1,1,5,7,1,2,6,7,2,1,4,7,1,1,1,3,1,5.2,7,1.2,1.4,4.428571429,1,1,6.1,1.3,4.8,48,0.9,10,29.54,0.12
303,7,5,1,1,12,3.75,5,1,1.2,5.6,6.833333333,6,7,1,1,6,7,1,1,6,7,1,1,6,7,2,1,5,7,1,1,1,6,1,5.8,7,1.2,1,4.714285714,1,0,6.4,1.1,5.3,36,0.74,18,29.71,0
304,0,7,3,2,14,3,4,1.6,2.4,4.8,5,5,4,1,3,5,2,1,3,1,2,2,3,1,1,3,1,1,4,1,1,1,1,1,2.6,2.6,1.6,2.2,2.285714286,1,1,2.6,1.9,0.7,35,0.36,10,30.35,0
304,1,7,2,2,30,3,5,1.2,1.8,3.8,4.5,5,4,5,6,6,4,3,2,5,2,1,1,1,3,5,2,2,4,2,2,2,3,1,3.8,3.4,3.2,2.6,3.428571429,1,1,3.6,2.9,0.7,32,0.35,8,30.43,0
304,2,7,2,4,21,3,5,1,1,6.6,4.5,7,3,2,2,6,3,2,1,4,7,1,4,6,4,1,1,6,6,1,1,1,3,1,5.8,4.6,1.4,1.8,4.857142857,1,0,5.2,1.6,3.6,42,0.24,3,30.35,0
